187  1999-09-21 08:03:17.400 23.645 120.6385 12 4.41
188  1999-09-21 09:10:16.200 23.8583 120.8267 12 3.94
189  1999-09-21 09:27:28.700 23.6208 120.8652 17 3.78
190  1999-09-21 09:36:10.300 23.5478 120.8932 21 4.45
191  1999-09-21 11:07:41.400 23.6742 120.8413 21 4.43
192  1999-09-21 11:39:34.100 23.6285 120.7017 21 4.15
193  1999-09-21 11:44:48.0 23.6213 120.6993 13 3.92
194  1999-09-21 13:32:21.600 24.1187 121.0427 19 4.02
195  1999-09-21 14:32:13.300 24.087 121.3563 22 4.25
196  1999-09-21 14:40:03.0 24.3177 120.8467 12 4.47
197  1999-09-21 15:28:09.300 23.6157 120.8523 12 4.56
198  1999-09-21 15:47:20.500 23.7963 120.9563 21 3.86
199  1999-09-21 17:07:07.600 24.1827 120.935 13 4.02
200  1999-09-21 17:38:35.0 23.8805 121.2818 34 4.94
201  1999-09-21 18:18:36.300 24.1755 121.0185 16 4.79
202  1999-09-22 00:14:40.800 23.8263 121.0467 23 6.16
203  1999-09-22 00:49:42.900 23.7555 121.0245 24 5.66
204  1999-09-22 02:19:29.600 23.7887 121.3947 11 4.58
205  1999-09-22 04:44:44.300 23.4775 120.8637 12 3.99
206  1999-09-22 06:10:02.600 23.6212 120.8258 12 4.1
207  1999-09-22 09:15:55.500 23.9075 121.388 31 3.99
208  1999-09-22 11:14:05.500 24.3522 120.8198 12 4.19
209  1999-09-22 12:17:21.100 23.7288 120.9945 23 4.93
210  1999-09-22 13:11:24.300 24.13 121.33 18 4.07
211  1999-09-22 13:32:51.500 24.2048 121.1212 15 3.91
212  1999-09-22 20:34:35.0 23.974 121.3453 21 4.16
213  1999-09-23 00:46:03.0 24.2187 121.2108 21 4.7
214  1999-09-23 05:42:49.700 23.9587 120.9962 24 4.54
215  1999-09-23 12:44:33.700 23.9122 121.0815 18 4.97
216  1999-09-23 16:09:51.0 24.3478 121.0183 11 4.28
217  1999-09-23 18:50:37.600 23.6212 120.8133 13 4.15
218  1999-09-23 21:39:00.100 24.0005 121.337 27 4.64
219  1999-09-24 00:47:48.700 23.9883 121.2837 12 3.86
220  1999-09-24 03:38:24.800 24.1458 120.9845 13 4.59
221  1999-09-24 06:33:21.500 24.0558 120.9978 16 4.03
222  1999-09-24 06:39:26.300 23.831 121.0358 25 3.72
223  1999-09-24 14:22:18.500 23.6305 120.882 18 4.06
224  1999-09-24 19:16:30.300 23.9943 120.7175 12 3.73
225  1999-09-25 02:42:05.900 24.272 121.1832 21 3.79
226  1999-09-25 04:19:12.400 24.2802 121.2488 21 4.44
227  1999-09-25 06:13:08.300 24.2592 121.1697 21 4.38
228  1999-09-25 08:43:29.200 23.6802 120.964 17 5.09
229  1999-09-25 17:25:59.500 23.7295 120.9865 25 4.1
230  1999-09-25 20:51:49.500 23.1037 121.0043 20 4.39
231  1999-09-25 21:54:05.500 23.6148 120.832 12 4.22
232  1999-09-25 23:11:15.600 23.9898 120.6037 12 4.07
233  1999-09-25 23:52:49.500 23.8593 121.0058 18 6.24
